Carding Machine,x0,y0,yaw0,x1,y1,yaw1,Draw Frames,dfx0,dfy0,dfyaw0,Ax1,Ay1,Ayaw1,Ax2,Ay2,Ayaw2,Ax3,Ay3,Ayaw3,Ax4,Ay4,Ayaw4,Bx1,By1,Byaw1,Bx2,By2,Byaw2,Bx3,By3,Byaw3,Bx4,By4,Byaw4
1,34.89,1.7055,3.14,32.575,1.7055,1.57,1,30.49625,4.1555,3.14,32.3,9.1995,-1.57,32.3,7.8995,-1.57,32.3,6.5995,-1.57,32.3,5.2995,-1.57,33.6,9.1995,-1.57,33.6,7.8995,-1.57,33.6,6.5995,-1.57,33.6,5.2995,-1.57
2,31.29,1.7055,3.14,28.975,1.7055,1.57,2,26.90375,4.1555,3.14,25.1,9.1995,-1.57,25.1,7.8995,-1.57,25.1,6.5995,-1.57,25.1,5.2995,-1.57,23.8,9.1995,-1.57,23.8,7.8995,-1.57,23.8,6.5995,-1.57,23.8,5.2995,-1.57
3,27.69,1.7055,3.14,25.375,1.7055,1.57,3,17.88875,4.1555,3.14,16.085,9.1995,-1.57,16.085,7.8995,-1.57,16.085,6.5995,-1.57,16.085,5.2995,-1.57,14.785,9.1995,-1.57,14.785,7.8995,-1.57,14.785,6.5995,-1.57,14.785,5.2995,-1.57
4,24.09,1.7055,3.14,21.775,1.7055,1.57,4,9.88125,4.1555,3.14,11.685,9.1995,-1.57,11.685,7.8995,-1.57,11.685,6.5995,-1.57,11.685,5.2995,-1.57,12.985,9.1995,-1.57,12.985,7.8995,-1.57,12.985,6.5995,-1.57,12.985,5.2995,-1.57
5,20.49,1.7055,3.14,18.175,1.7055,1.57,5,6.28875,4.1555,3.14,4.485,9.1995,-1.57,4.485,7.8995,-1.57,4.485,6.5995,-1.57,4.485,5.2995,-1.57,3.185,9.1995,-1.57,3.185,7.8995,-1.57,3.185,6.5995,-1.57,3.185,5.2995,-1.57
6,16.89,1.7055,3.14,14.575,1.7055,1.57,6,-6.28875,4.1555,3.14,-4.485,9.1995,-1.57,-4.485,7.8995,-1.57,-4.485,6.5995,-1.57,-4.485,5.2995,-1.57,-3.185,9.1995,-1.57,-3.185,7.8995,-1.57,-3.185,6.5995,-1.57,-3.185,5.2995,-1.57
7,13.29,1.7055,3.14,10.975,1.7055,1.57,7,-9.88125,4.1555,3.14,-11.685,9.1995,-1.57,-11.685,7.8995,-1.57,-11.685,6.5995,-1.57,-11.685,5.2995,-1.57,-12.985,9.1995,-1.57,-12.985,7.8995,-1.57,-12.985,6.5995,-1.57,-12.985,5.2995,-1.57
8,9.69,1.7055,3.14,7.375,1.7055,1.57,8,-18.89625,4.1555,3.14,-20.7,9.1995,-1.57,-20.7,7.8995,-1.57,-20.7,6.5995,-1.57,-20.7,5.2995,-1.57,-22,9.1995,-1.57,-22,7.8995,-1.57,-22,6.5995,-1.57,-22,5.2995,-1.57
9,6.09,1.7055,3.14,3.775,1.7055,1.57,9,-26.90375,4.1555,3.14,-25.1,9.1995,-1.57,-25.1,7.8995,-1.57,-25.1,6.5995,-1.57,-25.1,5.2995,-1.57,-23.8,9.1995,-1.57,-23.8,7.8995,-1.57,-23.8,6.5995,-1.57,-23.8,5.2995,-1.57
10,34.89,-23.329,3.14,32.575,-23.329,1.57,10,-30.49625,4.1555,3.14,-32.3,9.1995,-1.57,-32.3,7.8995,-1.57,-32.3,6.5995,-1.57,-32.3,5.2995,-1.57,-33.6,9.1995,-1.57,-33.6,7.8995,-1.57,-33.6,6.5995,-1.57,-33.6,5.2995,-1.57
11,31.29,-23.329,3.14,28.975,-23.329,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
